City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Wenzhou,CN,27.9994,120.6668,79.43,73,100,13.67,moderate rain
222,Neepawa,CA,50.2289,-99.4664,79.2,20,0,14.85,clear sky
223,Nome,US,64.5011,-165.4064,51.17,84,94,4.21,overcast clouds
224,Dingle,PH,10.9995,122.6711,76.15,91,100,3.53,overcast clouds
225,Marienburg,PL,54.0359,19.0266,50.58,68,75,7.72,broken clouds
226,Tiksi,RU,71.6872,128.8694,38.12,75,44,22.06,scattered clouds
227,Mazatlan,MX,23.2167,-106.4167,92.01,83,100,1.99,overcast clouds
228,Zalantun,CN,48.0,122.7167,57.83,98,100,4.83,overcast clouds
229,Rapid City,US,44.0805,-103.231,103.26,25,0,15.01,clear sky
230,San Cristobal,VE,7.7669,-72.225,82.6,43,86,7.96,overcast clouds
231,Mar Del Plata,AR,-38.0023,-57.5575,64.94,37,2,10.0,clear sky
232,Rio Gallegos,AR,-51.6226,-69.2181,48.72,66,100,16.78,overcast clouds
233,Tomaszow Lubelski,PL,50.4477,23.4162,51.78,81,24,4.09,few clouds
234,Haines Junction,CA,60.7522,-137.5108,56.19,48,17,3.44,few clouds
235,Gisborne,NZ,-38.6533,178.0042,48.74,68,100,5.61,overcast clouds
236,Saskylakh,RU,71.9167,114.0833,38.14,80,69,9.17,broken clouds
237,Puerto Escondido,MX,15.85,-97.0667,80.74,75,100,9.55,overcast clouds
238,Kokstad,ZA,-30.5472,29.4241,64.15,27,100,5.79,overcast clouds
239,Durham,US,36.0335,-78.8664,93.24,57,91,5.01,overcast clouds
240,Warwick,US,41.7001,-71.4162,85.3,68,100,1.01,overcast clouds
241,Fairbanks,US,64.8378,-147.7164,55.6,87,100,12.66,overcast clouds
242,Saint Anthony,US,45.0205,-93.218,77.25,53,20,9.22,few clouds
243,Vabalninkas,LT,55.9667,24.75,45.82,86,60,7.16,broken clouds
244,Flinders,AU,-34.5833,150.8552,48.06,85,44,10.54,scattered clouds
245,Hambantota,LK,6.1241,81.1185,78.4,85,94,13.89,overcast clouds
246,Tukrah,LY,32.5341,20.5791,79.88,71,0,13.18,clear sky
247,Elati,GR,39.9801,21.8219,71.51,83,51,5.64,broken clouds
248,Fort Oglethorpe,US,34.949,-85.2569,75.2,97,99,8.41,overcast clouds
249,Santa Maria,BR,-29.6842,-53.8069,59.63,64,0,9.64,clear sky
250,Kedrovyy,RU,56.1667,91.8167,55.87,91,92,9.19,overcast clouds
251,Novocheremshansk,RU,54.3571,50.1666,46.8,94,100,3.44,overcast clouds
252,Balrampur,IN,27.4333,82.1833,81.25,69,75,0.76,broken clouds
253,Ambilobe,MG,-13.2,49.05,70.99,68,83,3.6,broken clouds
254,Paita,PE,-5.0892,-81.1144,69.08,73,65,16.33,broken clouds
255,Port Elizabeth,ZA,-33.918,25.5701,60.31,71,0,13.8,clear sky
256,Praya,CV,14.9215,-23.5087,82.94,78,40,8.05,scattered clouds
257,Kautokeino,NO,69.0125,23.0412,43.09,85,98,1.52,overcast clouds
258,Tucupita,VE,9.0622,-62.051,93.06,45,69,3.56,broken clouds
259,Gat,IL,31.61,34.7642,79.48,100,0,5.86,clear sky
260,Port Lincoln,AU,-34.7333,135.8667,51.98,79,100,12.73,overcast clouds
261,Castro,BR,-24.7911,-50.0119,58.05,67,86,8.1,overcast clouds
262,Avola,IT,36.9113,15.1395,80.89,63,0,8.97,clear sky
263,Gamba,GA,-2.65,10.0,73.87,84,5,5.66,clear sky
264,Victoria,HK,22.2855,114.1577,86.38,64,50,8.01,scattered clouds
265,Panipat,IN,29.3889,76.9681,81.68,58,0,5.73,clear sky
266,Port Blair,IN,11.6667,92.75,81.54,82,99,11.41,light rain
267,Jalu,LY,29.0331,21.5482,83.52,42,0,13.89,clear sky
